Menopause_group	Sample_size	Age_mean	Age_sd	Age_min	Age_max	Age_menopause_mean	Age_menopause_sd	Time_since_menopause_mean	Time_since_menopause_sd	Income_counts	MHT_counts
PRE	674	51.0430267062315	2.88711649274385	45	77					46, 103, 190, 250, 85	674, 0
POST	7992	62.7251001001001	6.58233420824807	47	81	50.7235985985986	4.76367324852462	12.0015015015015	7.73836968675138	1053, 2320, 2414, 1705, 500	5388, 2604
SURG	894	63.9082774049217	6.92161186452545	47	79	46.4955257270694	6.73273846161474	17.4127516778524	8.73875502873635	132, 284, 277, 155, 46	181, 713
