Menopause_group	Sample_size	Age_mean	Age_sd	Age_min	Age_max	Age_menopause_mean	Age_menopause_sd	Time_since_menopause_mean	Time_since_menopause_sd	Income_counts	MHT_counts
PRE	126	53.531746031746	2.22238253390008	48	59					6, 22, 51, 32, 15	126, 0
POST	263	54.3764258555133	2.48332902664873	48	59	45.4372623574145	4.31344198867731	8.93916349809886	3.38103524051345	27, 45, 80, 85, 26	168, 95
SURG	137	55.1532846715329	2.46412647375502	48	59	42.4233576642336	5.4147437989161	12.7299270072993	5.12850117084307	15, 27, 45, 36, 14	34, 103
