Menopause_group	Sample_size	Age_mean	Age_sd	Age_min	Age_max	Age_menopause_mean	Age_menopause_sd	Time_since_menopause_mean	Time_since_menopause_sd	Income_counts	MHT_counts
PRE	628	51.2213375796178	3.36797803421701	45	77					44, 106, 165, 230, 83	581, 47
POST	9161	63.0025106429429	6.63644942306443	47	81	50.7313695317652	4.85972818407	12.5132627442419	7.90884639963304	1240, 2696, 2782, 1890, 553	6116, 3045
SURG	730	63.5	7.04078847374082	46	80	46.5589041095891	6.89266793232928	16.7267759562842	8.06305466541315	113, 224, 219, 134, 40	143, 587
