Menopause_group	Sample_size	Age_mean	Age_sd	Age_min	Age_max	Age_menopause_mean	Age_menopause_sd	Time_since_menopause_mean	Time_since_menopause_sd	Income_counts	MHT_counts
PRE	668	50.8907185628743	2.35621684140761	45	59					46, 103, 190, 250, 85	674, 0
POST	3001	55.4958347217594	2.66647069700894	47	59	49.677440853049	4.47384110676539	5.55840455840456	4.39404095180615	1053, 2320, 2414, 1705, 500	5388, 2604
